Category: All categories

Month,FanDuel: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,<1
2009-09,0
2009-10,0
2009-11,<1
2009-12,0
2010-01,0
2010-02,<1
2010-03,<1
2010-04,<1
2010-05,<1
2010-06,<1
2010-07,<1
2010-08,<1
2010-09,<1
2010-10,<1
2010-11,<1
2010-12,<1
2011-01,<1
2011-02,<1
2011-03,<1
2011-04,<1
2011-05,<1
2011-06,<1
2011-07,<1
2011-08,<1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,<1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,4
2012-10,5
2012-11,4
2012-12,4
2013-01,3
2013-02,2
2013-03,2
2013-04,3
2013-05,2
2013-06,2
2013-07,2
2013-08,3
2013-09,12
2013-10,10
2013-11,12
2013-12,10
2014-01,6
2014-02,4
2014-03,4
2014-04,8
2014-05,5
2014-06,4
2014-07,3
2014-08,7
2014-09,47
2014-10,43
2014-11,54
2014-12,44
2015-01,31
2015-02,16
2015-03,15
2015-04,19
2015-05,15
2015-06,9
2015-07,9
2015-08,14
2015-09,98
2015-10,100
2015-11,68
2015-12,38
2016-01,37
2016-02,18
2016-03,16
2016-04,15
2016-05,11
2016-06,8
2016-07,7
2016-08,10
2016-09,30
2016-10,26
2016-11,25
2016-12,19
2017-01,16
2017-02,10
2017-03,10
2017-04,11
2017-05,9
2017-06,7
2017-07,6
2017-08,8
2017-09,19
2017-10,20
2017-11,18
2017-12,15
2018-01,12
2018-02,9
2018-03,9
2018-04,9
2018-05,9
2018-06,7
2018-07,7
2018-08,9
2018-09,27
2018-10,23
2018-11,22
2018-12,16
2019-01,14
2019-02,10
2019-03,10
2019-04,10
2019-05,9
2019-06,7
2019-07,6
2019-08,9
2019-09,26
2019-10,23
2019-11,23
2019-12,20
2020-01,17
2020-02,13
2020-03,6
2020-04,4
2020-05,5
2020-06,6
2020-07,12
2020-08,20
2020-09,29
2020-10,27
2020-11,22
2020-12,22
2021-01,31
2021-02,36
2021-03,17
2021-04,16
2021-05,14
2021-06,14
2021-07,10
2021-08,10
2021-09,26
2021-10,29
2021-11,25
2021-12,27
2022-01,36
2022-02,35
2022-03,19
