Category: All categories

Month,Bovada: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,<1
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,<1
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,<1
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,<1
2007-07,0
2007-08,0
2007-09,0
2007-10,<1
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,<1
2008-06,0
2008-07,0
2008-08,0
2008-09,<1
2008-10,0
2008-11,0
2008-12,<1
2009-01,0
2009-02,<1
2009-03,0
2009-04,0
2009-05,<1
2009-06,<1
2009-07,<1
2009-08,0
2009-09,0
2009-10,0
2009-11,<1
2009-12,<1
2010-01,<1
2010-02,0
2010-03,<1
2010-04,0
2010-05,<1
2010-06,0
2010-07,0
2010-08,<1
2010-09,<1
2010-10,0
2010-11,0
2010-12,0
2011-01,<1
2011-02,0
2011-03,0
2011-04,0
2011-05,<1
2011-06,0
2011-07,0
2011-08,0
2011-09,<1
2011-10,<1
2011-11,<1
2011-12,9
2012-01,24
2012-02,25
2012-03,25
2012-04,21
2012-05,19
2012-06,20
2012-07,13
2012-08,16
2012-09,32
2012-10,31
2012-11,34
2012-12,31
2013-01,28
2013-02,25
2013-03,25
2013-04,22
2013-05,20
2013-06,20
2013-07,16
2013-08,23
2013-09,38
2013-10,36
2013-11,36
2013-12,32
2014-01,34
2014-02,30
2014-03,28
2014-04,27
2014-05,27
2014-06,28
2014-07,23
2014-08,27
2014-09,47
2014-10,40
2014-11,42
2014-12,38
2015-01,37
2015-02,32
2015-03,32
2015-04,32
2015-05,35
2015-06,28
2015-07,26
2015-08,26
2015-09,59
2015-10,58
2015-11,50
2015-12,45
2016-01,44
2016-02,34
2016-03,37
2016-04,33
2016-05,31
2016-06,30
2016-07,26
2016-08,25
2016-09,54
2016-10,48
2016-11,40
2016-12,36
2017-01,40
2017-02,32
2017-03,29
2017-04,27
2017-05,26
2017-06,25
2017-07,23
2017-08,35
2017-09,62
2017-10,57
2017-11,55
2017-12,48
2018-01,47
2018-02,40
2018-03,42
2018-04,35
2018-05,32
2018-06,29
2018-07,26
2018-08,27
2018-09,63
2018-10,55
2018-11,57
2018-12,49
2019-01,53
2019-02,48
2019-03,47
2019-04,39
2019-05,34
2019-06,31
2019-07,26
2019-08,33
2019-09,59
2019-10,54
2019-11,60
2019-12,56
2020-01,54
2020-02,49
2020-03,27
2020-04,20
2020-05,21
2020-06,20
2020-07,100
2020-08,43
2020-09,58
2020-10,53
2020-11,59
2020-12,47
2021-01,49
2021-02,44
2021-03,42
2021-04,37
2021-05,33
2021-06,31
2021-07,26
2021-08,25
2021-09,47
2021-10,57
2021-11,49
2021-12,74
2022-01,58
2022-02,53
2022-03,49
