Category: All categories

Month,DraftKings: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,<1
2012-02,0
2012-03,<1
2012-04,<1
2012-05,<1
2012-06,<1
2012-07,<1
2012-08,<1
2012-09,<1
2012-10,<1
2012-11,<1
2012-12,<1
2013-01,<1
2013-02,<1
2013-03,<1
2013-04,<1
2013-05,<1
2013-06,<1
2013-07,<1
2013-08,<1
2013-09,1
2013-10,1
2013-11,1
2013-12,2
2014-01,2
2014-02,1
2014-03,1
2014-04,2
2014-05,1
2014-06,1
2014-07,1
2014-08,4
2014-09,10
2014-10,10
2014-11,13
2014-12,12
2015-01,10
2015-02,7
2015-03,7
2015-04,12
2015-05,9
2015-06,10
2015-07,13
2015-08,27
2015-09,100
2015-10,65
2015-11,54
2015-12,35
2016-01,26
2016-02,13
2016-03,12
2016-04,14
2016-05,10
2016-06,9
2016-07,9
2016-08,12
2016-09,35
2016-10,26
2016-11,22
2016-12,19
2017-01,15
2017-02,10
2017-03,10
2017-04,12
2017-05,8
2017-06,7
2017-07,8
2017-08,10
2017-09,28
2017-10,23
2017-11,19
2017-12,14
2018-01,10
2018-02,9
2018-03,9
2018-04,9
2018-05,8
2018-06,7
2018-07,7
2018-08,9
2018-09,24
2018-10,18
2018-11,15
2018-12,13
2019-01,10
2019-02,9
2019-03,8
2019-04,8
2019-05,7
2019-06,7
2019-07,6
2019-08,7
2019-09,20
2019-10,16
2019-11,16
2019-12,14
2020-01,13
2020-02,10
2020-03,5
2020-04,6
2020-05,11
2020-06,13
2020-07,17
2020-08,20
2020-09,35
2020-10,27
2020-11,26
2020-12,24
2021-01,28
2021-02,28
2021-03,20
2021-04,17
2021-05,16
2021-06,15
2021-07,13
2021-08,16
2021-09,31
2021-10,26
2021-11,23
2021-12,23
2022-01,31
2022-02,27
2022-03,19
