Category: All categories

Month,Betway: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,<1
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,<1
2005-04,0
2005-05,0
2005-06,<1
2005-07,<1
2005-08,0
2005-09,<1
2005-10,<1
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,<1
2006-05,1
2006-06,1
2006-07,1
2006-08,1
2006-09,2
2006-10,2
2006-11,2
2006-12,2
2007-01,1
2007-02,2
2007-03,2
2007-04,2
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,2
2007-10,1
2007-11,1
2007-12,1
2008-01,2
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,2
2008-07,1
2008-08,1
2008-09,1
2008-10,2
2008-11,2
2008-12,1
2009-01,1
2009-02,2
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,1
2009-10,1
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,1
2010-06,1
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,<1
2011-05,<1
2011-06,1
2011-07,<1
2011-08,<1
2011-09,<1
2011-10,<1
2011-11,<1
2011-12,<1
2012-01,<1
2012-02,<1
2012-03,<1
2012-04,<1
2012-05,<1
2012-06,<1
2012-07,<1
2012-08,<1
2012-09,<1
2012-10,<1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,<1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,1
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,2
2015-01,2
2015-02,2
2015-03,2
2015-04,2
2015-05,2
2015-06,2
2015-07,2
2015-08,3
2015-09,3
2015-10,4
2015-11,4
2015-12,4
2016-01,6
2016-02,10
2016-03,11
2016-04,11
2016-05,10
2016-06,11
2016-07,9
2016-08,11
2016-09,12
2016-10,11
2016-11,11
2016-12,12
2017-01,11
2017-02,12
2017-03,13
2017-04,12
2017-05,10
2017-06,10
2017-07,9
2017-08,11
2017-09,13
2017-10,13
2017-11,13
2017-12,14
2018-01,11
2018-02,14
2018-03,15
2018-04,16
2018-05,14
2018-06,17
2018-07,15
2018-08,19
2018-09,21
2018-10,22
2018-11,21
2018-12,25
2019-01,24
2019-02,25
2019-03,32
2019-04,32
2019-05,23
2019-06,25
2019-07,22
2019-08,28
2019-09,28
2019-10,29
2019-11,33
2019-12,38
2020-01,34
2020-02,33
2020-03,22
2020-04,12
2020-05,19
2020-06,33
2020-07,46
2020-08,48
2020-09,55
2020-10,59
2020-11,62
2020-12,61
2021-01,65
2021-02,70
2021-03,73
2021-04,82
2021-05,74
2021-06,61
2021-07,58
2021-08,74
2021-09,90
2021-10,100
2021-11,88
2021-12,87
2022-01,76
2022-02,79
2022-03,83
